day,act_1_day,cash
01.09.2017,2 488,"18 253,10 $"
02.09.2017,1 917,"4 519,44 $"
03.09.2017,2 050,"5 491,20 $"
04.09.2017,2 295,"7 966,64 $"
05.09.2017,2 824,"11 204,61 $"
06.09.2017,2 797,"13 892,14 $"
07.09.2017,2 747,"15 598,08 $"
08.09.2017,2 509,"5 747,30 $"
09.09.2017,1 986,"8 289,30 $"
10.09.2017,1 968,"7 307,95 $"
11.09.2017,2 836,"15 153,61 $"
12.09.2017,2 813,"15 485,76 $"
13.09.2017,2 774,"25 396,02 $"
14.09.2017,2 790,"9 371,30 $"
15.09.2017,2 553,"14 107,33 $"
16.09.2017,2 590,"6 324,00 $"
17.09.2017,2 682,"5 192,50 $"
18.09.2017,3 477,"12 767,94 $"
19.09.2017,3 313,"11 108,69 $"
20.09.2017,4 825,"11 016,85 $"
21.09.2017,4 751,"10 364,44 $"
22.09.2017,3 592,"21 475,24 $"
23.09.2017,2 174,"9 628,05 $"
24.09.2017,2 483,"10 265,82 $"
25.09.2017,3 115,"20 689,50 $"
26.09.2017,3 701,"20 257,98 $"
27.09.2017,3 338,"27 133,53 $"
28.09.2017,3 371,"15 708,00 $"
29.09.2017,2 974,"11 264,89 $"
30.09.2017,2 491,"9 198,51 $"
01.10.2017,2 756,"11 096,43 $"
02.10.2017,3 393,"15 297,23 $"
03.10.2017,3 448,"19 712,15 $"
04.10.2017,5 049,"20 328,26 $"
05.10.2017,4 603,"9 932,69 $"
06.10.2017,3 886,"13 148,89 $"
07.10.2017,3 248,"8 148,54 $"
08.10.2017,3 166,"10 073,80 $"
09.10.2017,3 900,"18 057,01 $"
10.10.2017,3 843,"18 762,08 $"
11.10.2017,3 313,"20 207,22 $"
12.10.2017,3 067,"23 467,00 $"
13.10.2017,2 695,"14 154,26 $"
14.10.2017,2 365,"8 201,37 $"
15.10.2017,2 091,"10 458,93 $"
16.10.2017,3 044,"17 325,45 $"
17.10.2017,4 115,"17 100,43 $"
18.10.2017,3 474,"11 843,30 $"
19.10.2017,3 194,"15 947,31 $"
20.10.2017,2 958,"14 243,85 $"
21.10.2017,2 235,"9 687,83 $"
22.10.2017,2 653,"10 880,33 $"
23.10.2017,3 481,"18 116,64 $"
24.10.2017,3 331,"17 685,42 $"
25.10.2017,3 360,"11 235,73 $"
26.10.2017,3 453,"13 472,07 $"
27.10.2017,3 048,"12 634,88 $"
